Titre,État,Région,Site,Description,Date,Support,Affiliation religieuse,Lieu de conservation,Auteur
ASOK_NAG079b,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,,3 A.D.,Stūpa ; panneau,bouddhisme,Nagarjunakonda Archaeological Museum,Maronet Léa
ASOK_NAG050,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,,3 A.D.,Stūpa ; panneau,bouddhisme,Nagarjunakonda Archaeological Museum,Maronet Léa
ASOK_NAG048,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,,3 A.D.,Stūpa ; panneau,bouddhisme,Nagarjunakonda Archaeological Museum,Maronet Léa
ASOK_NAG036a,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,,3 A.D.,Stūpa ; panneau,bouddhisme,Nagarjunakonda Archaeological Museum,Maronet Léa
ASOK_NAG035d,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,,3 A.D.,Stūpa ; panneau,bouddhisme,Nagarjunakonda Archaeological Museum,Maronet Léa
ASOK_NAG035a,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,,3 A.D.,Stūpa ; panneau,bouddhisme,Nagarjunakonda Archaeological Museum,Maronet Léa
ASOK_NAG032d,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,,3 A.D.,Stūpa ; panneau,bouddhisme,Nagarjunakonda Archaeological Museum,Maronet Léa
ASOK_NAG028a,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,,3 A.D.,Stūpa ; panneau,bouddhisme,Nagarjunakonda Archaeological Museum,Maronet Léa
ASOK_NAG026b,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,,3 A.D.,Stūpa ; panneau,bouddhisme,Nagarjunakonda Archaeological Museum,Maronet Léa
ASOK_NAG023e,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,Frise avec scènes narratives,3 A.D.,Stūpa ; panneau,bouddhisme,Nagarjunakonda Archaeological Museum,Maronet Léa
ASOK_NAG010,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,Scène de la tentation du Buddha par Māra,3 A.D.,Stūpa ; panneau,bouddhisme,The Metropolitan Museum of Art (MET),Maronet Léa
ASOK_NAG009,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,Scène du Grand Départ du Buddha,3 A.D.,Stūpa ; panneau,bouddhisme,The Metropolitan Museum of Art (MET),Maronet Léa
ASOK_NAG004b,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,Demi-médaillon lotiforme et lion,3 A.D.,Pilier,bouddhisme,In situ,Maronet Léa
ASOK_NAG003a,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,Demi-médaillon lotiforme,3 A.D.,Pilier,bouddhisme,In situ,Maronet Léa
ASOK_NAG002b,Andhra Pradesh,Āndhradeśa,Nāgārjunakoṇḍa,Demi-médaillon lotiforme et lion,3 A.D.,Pilier,bouddhisme,In situ,Maronet Léa
ASOK_MAT069,Uttar Pradesh,Mathurā,Mathurā,Lakṣmī ?,1 A.D. ; 2 A.D.,Panneau,indéterminée,Mathura Government Museum,Maronet Léa
ASOK_MAT061a,Uttar Pradesh,Mathurā,Mathurā,Figure avec lion,1 A.D. ; 2 A.D.,Sculpture en ronde-bosse,indéterminée,Mathura Government Museum,Maronet Léa
ASOK_MAT060a,Uttar Pradesh,Mathurā,Mathurā,Frise avec éléphants,2 B.C. ; 1 B.C.,Frise,indéterminée,Mathura Government Museum,Maronet Léa
ASOK_MAT060,Uttar Pradesh,Mathurā,Mathurā,Frise avec éléphants,2 B.C. ; 1 B.C.,Frise,indéterminée,Mathura Government Museum,Maronet Léa
ASOK_MAT058,Uttar Pradesh,Mathurā,Mathurā,Balustrade avec médaillons,1 B.C.,Balustrade,indéterminée,Mathura Government Museum,Maronet Léa
